Pair	Cnt	BinomQ	BinomP
chr16_34365000_34370000-chr16_34370000_34375000	21	0.797377	0.707369
chr16_3455000_3460000-chr16_3460000_3465000	23	0.74604	0.55157
chr16_34970000_34975000-chr16_34975000_34980000	11	0.998925	0.99789
chr16_3500000_3505000-chr16_3505000_3510000	36	0.282221	0.00976708
chr16_35075000_35080000-chr16_35080000_35085000	23	0.74604	0.55157
chr16_35080000_35085000-chr16_35085000_35090000	20	0.838972	0.775928
chr16_35120000_35125000-chr16_35125000_35130000	12	0.996979	0.995429
chr16_3620000_3625000-chr16_3625000_3630000	33	0.471737	0.0361551
chr16_3760000_3765000-chr16_3765000_3770000	43	0.0347621	0.000204075
chr16_4045000_4050000-chr16_4050000_4055000	32	0.493133	0.0532414
chr16_415000_420000-chr16_420000_425000	42	0.0522248	0.000378964
chr16_4160000_4165000-chr16_4165000_4170000	52	0.000314402	3.13883e-07
chr16_4165000_4170000-chr16_4170000_4175000	38	0.182421	0.00362169
chr16_4180000_4185000-chr16_4185000_4190000	30	0.584454	0.107036
chr16_4225000_4230000-chr16_4230000_4235000	42	0.0522248	0.000378964
chr16_4260000_4265000-chr16_4265000_4270000	26	0.643769	0.318053
chr16_4315000_4320000-chr16_4320000_4325000	41	0.0755438	0.000688779
chr16_4540000_4545000-chr16_4545000_4550000	43	0.0347621	0.000204075
chr16_46600000_46605000-chr16_46605000_46610000	35	0.338357	0.0154802
chr16_46710000_46715000-chr16_46715000_46720000	9	1	0.999653
chr16_46950000_46955000-chr16_46955000_46960000	39	0.139035	0.00213013
chr16_46990000_46995000-chr16_46995000_47000000	17	0.93859	0.921958
chr16_46995000_47000000-chr16_47000000_47005000	15	0.976664	0.969857
chr16_47070000_47075000-chr16_47075000_47080000	17	0.93859	0.921958
chr16_47430000_47435000-chr16_47435000_47440000	33	0.471737	0.0361551
chr16_475000_480000-chr16_480000_485000	42	0.0522248	0.000378964
chr16_4765000_4770000-chr16_4770000_4775000	34	0.409264	0.0239496
chr16_47765000_47770000-chr16_47770000_47775000	17	0.93859	0.921958
chr16_47770000_47775000-chr16_47775000_47780000	26	0.643769	0.318053
chr16_47810000_47815000-chr16_47815000_47820000	25	0.71229	0.391705
chr16_47970000_47975000-chr16_47975000_47980000	24	0.74604	0.470507
chr16_48010000_48015000-chr16_48015000_48020000	23	0.74604	0.55157
chr16_48130000_48135000-chr16_48135000_48140000	34	0.409264	0.0239496
chr16_48315000_48320000-chr16_48320000_48325000	21	0.797377	0.707369
chr16_4845000_4850000-chr16_4850000_4855000	39	0.139035	0.00213013
chr16_48535000_48540000-chr16_48540000_48545000	30	0.584454	0.107036
chr16_48550000_48555000-chr16_48555000_48560000	20	0.838972	0.775928
chr16_4875000_4880000-chr16_4880000_4885000	20	0.838972	0.775928
chr16_48765000_48770000-chr16_48770000_48775000	28	0.584454	0.194249
chr16_4880000_4885000-chr16_4885000_4890000	19	0.875659	0.835154
chr16_48900000_48905000-chr16_48905000_48910000	27	0.585529	0.251769
chr16_48950000_48955000-chr16_48955000_48960000	15	0.976664	0.969857
chr16_49000000_49005000-chr16_49005000_49010000	20	0.838972	0.775928
chr16_49035000_49040000-chr16_49040000_49045000	30	0.584454	0.107036
chr16_49295000_49300000-chr16_49300000_49305000	24	0.74604	0.470507
chr16_49300000_49305000-chr16_49305000_49310000	30	0.584454	0.107036
chr16_49350000_49355000-chr16_49355000_49360000	13	0.994145	0.990824
chr16_49495000_49500000-chr16_49500000_49505000	28	0.584454	0.194249
chr16_49610000_49615000-chr16_49615000_49620000	18	0.907434	0.883879
chr16_49675000_49680000-chr16_49680000_49685000	31	0.544394	0.0764551
chr16_49725000_49730000-chr16_49730000_49735000	34	0.409264	0.0239496
chr16_49730000_49735000-chr16_49735000_49740000	25	0.71229	0.391705
chr16_49770000_49775000-chr16_49775000_49780000	18	0.907434	0.883879
chr16_49805000_49810000-chr16_49810000_49815000	12	0.996979	0.995429
chr16_4985000_4990000-chr16_4990000_4995000	19	0.875659	0.835154
chr16_49885000_49890000-chr16_49890000_49895000	11	0.998925	0.99789
chr16_50500000_50505000-chr16_50505000_50510000	30	0.584454	0.107036
chr16_50985000_50990000-chr16_50990000_50995000	24	0.74604	0.470507
chr16_51000000_51005000-chr16_51005000_51010000	32	0.493133	0.0532414
chr16_51065000_51070000-chr16_51070000_51075000	21	0.797377	0.707369
chr16_51095000_51100000-chr16_51100000_51105000	18	0.907434	0.883879
chr16_51125000_51130000-chr16_51130000_51135000	20	0.838972	0.775928
chr16_51185000_51190000-chr16_51190000_51195000	20	0.838972	0.775928
chr16_5145000_5150000-chr16_5150000_5155000	12	0.996979	0.995429
chr16_51610000_51615000-chr16_51615000_51620000	14	0.987447	0.982825
chr16_51615000_51620000-chr16_51620000_51625000	29	0.584454	0.14606
chr16_51830000_51835000-chr16_51835000_51840000	15	0.976664	0.969857
chr16_52020000_52025000-chr16_52025000_52030000	10	0.99991	0.999104
chr16_52220000_52225000-chr16_52225000_52230000	18	0.907434	0.883879
chr16_52405000_52410000-chr16_52410000_52415000	16	0.959845	0.950148
chr16_52495000_52500000-chr16_52500000_52505000	8	1	0.999879
chr16_52585000_52590000-chr16_52590000_52595000	20	0.838972	0.775928
chr16_52610000_52615000-chr16_52615000_52620000	24	0.74604	0.470507
chr16_52615000_52620000-chr16_52620000_52625000	23	0.74604	0.55157
chr16_52790000_52795000-chr16_52795000_52800000	13	0.994145	0.990824
chr16_52900000_52905000-chr16_52905000_52910000	17	0.93859	0.921958
chr16_53020000_53025000-chr16_53025000_53030000	18	0.907434	0.883879
chr16_53025000_53030000-chr16_53030000_53035000	20	0.838972	0.775928
chr16_53245000_53250000-chr16_53250000_53255000	29	0.584454	0.14606
chr16_53250000_53255000-chr16_53255000_53260000	18	0.907434	0.883879
chr16_53255000_53260000-chr16_53260000_53265000	14	0.987447	0.982825
chr16_53260000_53265000-chr16_53265000_53270000	21	0.797377	0.707369
chr16_53265000_53270000-chr16_53270000_53275000	16	0.959845	0.950148
chr16_53295000_53300000-chr16_53300000_53305000	20	0.838972	0.775928
chr16_53300000_53305000-chr16_53305000_53310000	17	0.93859	0.921958
chr16_53480000_53485000-chr16_53485000_53490000	13	0.994145	0.990824
chr16_53660000_53665000-chr16_53665000_53670000	19	0.875659	0.835154
chr16_54165000_54170000-chr16_54170000_54175000	22	0.755842	0.63162
chr16_5420000_5425000-chr16_5425000_5430000	18	0.907434	0.883879
chr16_54410000_54415000-chr16_54415000_54420000	26	0.643769	0.318053
chr16_54505000_54510000-chr16_54510000_54515000	16	0.959845	0.950148
chr16_54860000_54865000-chr16_54865000_54870000	23	0.74604	0.55157
chr16_54865000_54870000-chr16_54870000_54875000	28	0.584454	0.194249
chr16_55120000_55125000-chr16_55125000_55130000	14	0.987447	0.982825
chr16_55125000_55130000-chr16_55130000_55135000	27	0.585529	0.251769
chr16_55155000_55160000-chr16_55160000_55165000	23	0.74604	0.55157
chr16_55250000_55255000-chr16_55255000_55260000	8	1	0.999879
chr16_55325000_55330000-chr16_55330000_55335000	17	0.93859	0.921958
chr16_55465000_55470000-chr16_55470000_55475000	18	0.907434	0.883879
chr16_55505000_55510000-chr16_55510000_55515000	48	0.00346424	6.78402e-06
chr16_55525000_55530000-chr16_55530000_55535000	44	0.0233441	0.000107602
chr16_5555000_5560000-chr16_5560000_5565000	39	0.139035	0.00213013
chr16_55745000_55750000-chr16_55750000_55755000	21	0.797377	0.707369
chr16_55790000_55795000-chr16_55795000_55800000	7	1	0.999962
chr16_55900000_55905000-chr16_55905000_55910000	27	0.585529	0.251769
chr16_55905000_55910000-chr16_55910000_55915000	12	0.996979	0.995429
chr16_56005000_56010000-chr16_56010000_56015000	11	0.998925	0.99789
chr16_56060000_56065000-chr16_56065000_56070000	29	0.584454	0.14606
chr16_56065000_56070000-chr16_56070000_56075000	9	1	0.999653
chr16_56070000_56075000-chr16_56075000_56080000	21	0.797377	0.707369
chr16_56170000_56175000-chr16_56175000_56180000	21	0.797377	0.707369
chr16_56195000_56200000-chr16_56200000_56205000	19	0.875659	0.835154
chr16_56250000_56255000-chr16_56255000_56260000	22	0.755842	0.63162
chr16_56255000_56260000-chr16_56260000_56265000	43	0.0347621	0.000204075
chr16_56330000_56335000-chr16_56335000_56340000	30	0.584454	0.107036
chr16_56440000_56445000-chr16_56445000_56450000	19	0.875659	0.835154
chr16_56490000_56495000-chr16_56495000_56500000	25	0.71229	0.391705
chr16_56530000_56535000-chr16_56535000_56540000	24	0.74604	0.470507
chr16_56550000_56555000-chr16_56555000_56560000	26	0.643769	0.318053
chr16_56555000_56560000-chr16_56560000_56565000	33	0.471737	0.0361551
chr16_56830000_56835000-chr16_56835000_56840000	37	0.235963	0.00601756
chr16_57330000_57335000-chr16_57335000_57340000	23	0.74604	0.55157
chr16_57580000_57585000-chr16_57585000_57590000	30	0.584454	0.107036
chr16_57910000_57915000-chr16_57915000_57920000	20	0.838972	0.775928
chr16_5795000_5800000-chr16_5800000_5805000	7	1	0.999962
chr16_58020000_58025000-chr16_58025000_58030000	19	0.875659	0.835154
chr16_58120000_58125000-chr16_58125000_58130000	19	0.875659	0.835154
chr16_58125000_58130000-chr16_58130000_58135000	28	0.584454	0.194249
chr16_58230000_58235000-chr16_58235000_58240000	22	0.755842	0.63162
chr16_58365000_58370000-chr16_58370000_58375000	19	0.875659	0.835154
chr16_58735000_58740000-chr16_58740000_58745000	23	0.74604	0.55157
chr16_58815000_58820000-chr16_58820000_58825000	18	0.907434	0.883879
chr16_58820000_58825000-chr16_58825000_58830000	11	0.998925	0.99789
chr16_58835000_58840000-chr16_58840000_58845000	19	0.875659	0.835154
chr16_58840000_58845000-chr16_58845000_58850000	17	0.93859	0.921958
chr16_58920000_58925000-chr16_58925000_58930000	12	0.996979	0.995429
chr16_58925000_58930000-chr16_58930000_58935000	10	0.99991	0.999104
chr16_590000_595000-chr16_595000_600000	9	1	0.999653
chr16_59030000_59035000-chr16_59035000_59040000	8	1	0.999879
chr16_59045000_59050000-chr16_59050000_59055000	14	0.987447	0.982825
chr16_59050000_59055000-chr16_59055000_59060000	13	0.994145	0.990824
chr16_5920000_5925000-chr16_5925000_5930000	30	0.584454	0.107036
chr16_59365000_59370000-chr16_59370000_59375000	20	0.838972	0.775928
chr16_59370000_59375000-chr16_59375000_59380000	14	0.987447	0.982825
chr16_59375000_59380000-chr16_59380000_59385000	15	0.976664	0.969857
chr16_59390000_59395000-chr16_59395000_59400000	16	0.959845	0.950148
chr16_59455000_59460000-chr16_59460000_59465000	15	0.976664	0.969857
chr16_59460000_59465000-chr16_59465000_59470000	19	0.875659	0.835154
chr16_59480000_59485000-chr16_59485000_59490000	9	1	0.999653
chr16_5950000_5955000-chr16_5955000_5960000	12	0.996979	0.995429
chr16_59585000_59590000-chr16_59590000_59595000	14	0.987447	0.982825
chr16_59660000_59665000-chr16_59665000_59670000	15	0.976664	0.969857
chr16_59680000_59685000-chr16_59685000_59690000	18	0.907434	0.883879
chr16_59685000_59690000-chr16_59690000_59695000	24	0.74604	0.470507
chr16_60115000_60120000-chr16_60120000_60125000	8	1	0.999879
chr16_60180000_60185000-chr16_60185000_60190000	29	0.584454	0.14606
chr16_60405000_60410000-chr16_60410000_60415000	11	0.998925	0.99789
chr16_60420000_60425000-chr16_60425000_60430000	16	0.959845	0.950148
chr16_60450000_60455000-chr16_60455000_60460000	18	0.907434	0.883879
chr16_60455000_60460000-chr16_60460000_60465000	15	0.976664	0.969857
chr16_60460000_60465000-chr16_60465000_60470000	12	0.996979	0.995429
chr16_60555000_60560000-chr16_60560000_60565000	2	1	1
chr16_60805000_60810000-chr16_60810000_60815000	16	0.959845	0.950148
chr16_60810000_60815000-chr16_60815000_60820000	23	0.74604	0.55157
chr16_61150000_61155000-chr16_61155000_61160000	15	0.976664	0.969857
chr16_61205000_61210000-chr16_61210000_61215000	15	0.976664	0.969857
chr16_61210000_61215000-chr16_61215000_61220000	26	0.643769	0.318053
chr16_61495000_61500000-chr16_61500000_61505000	12	0.996979	0.995429
chr16_61590000_61595000-chr16_61595000_61600000	6	1	0.99999
chr16_61690000_61695000-chr16_61695000_61700000	7	1	0.999962
chr16_61710000_61715000-chr16_61715000_61720000	22	0.755842	0.63162
chr16_61765000_61770000-chr16_61770000_61775000	34	0.409264	0.0239496
chr16_61875000_61880000-chr16_61880000_61885000	24	0.74604	0.470507
chr16_61880000_61885000-chr16_61885000_61890000	15	0.976664	0.969857
chr16_62050000_62055000-chr16_62055000_62060000	23	0.74604	0.55157
chr16_62205000_62210000-chr16_62210000_62215000	27	0.585529	0.251769
chr16_62250000_62255000-chr16_62255000_62260000	7	1	0.999962
chr16_62435000_62440000-chr16_62440000_62445000	10	0.99991	0.999104
chr16_62455000_62460000-chr16_62460000_62465000	8	1	0.999879
chr16_62460000_62465000-chr16_62465000_62470000	6	1	0.99999
chr16_62495000_62500000-chr16_62500000_62505000	12	0.996979	0.995429
chr16_62645000_62650000-chr16_62650000_62655000	31	0.544394	0.0764551
chr16_62780000_62785000-chr16_62785000_62790000	8	1	0.999879
chr16_63030000_63035000-chr16_63035000_63040000	34	0.409264	0.0239496
chr16_6315000_6320000-chr16_6320000_6325000	7	1	0.999962
chr16_63200000_63205000-chr16_63205000_63210000	7	1	0.999962
chr16_63890000_63895000-chr16_63895000_63900000	12	0.996979	0.995429
chr16_63905000_63910000-chr16_63910000_63915000	13	0.994145	0.990824
chr16_63990000_63995000-chr16_63995000_64000000	20	0.838972	0.775928
chr16_640000_645000-chr16_645000_650000	41	0.0755438	0.000688779
chr16_64115000_64120000-chr16_64120000_64125000	15	0.976664	0.969857
chr16_64120000_64125000-chr16_64125000_64130000	17	0.93859	0.921958
chr16_645000_650000-chr16_650000_655000	29	0.584454	0.14606
chr16_64615000_64620000-chr16_64620000_64625000	12	0.996979	0.995429
chr16_64620000_64625000-chr16_64625000_64630000	13	0.994145	0.990824
chr16_64845000_64850000-chr16_64850000_64855000	21	0.797377	0.707369
chr16_64960000_64965000-chr16_64965000_64970000	10	0.99991	0.999104
chr16_64965000_64970000-chr16_64970000_64975000	13	0.994145	0.990824
chr16_64980000_64985000-chr16_64985000_64990000	24	0.74604	0.470507
chr16_64985000_64990000-chr16_64990000_64995000	23	0.74604	0.55157
chr16_650000_655000-chr16_655000_660000	43	0.0347621	0.000204075
